"node","nobs","nsets","npredators","nprey","dev","loss","split","pclass"
1,2091,71,896.000000000005,20,703.450062902369,0.785100516632104,"Lon < -112.947","F_Benthosema"
2,125,6,77,10,30.9720709845712,0.402234688111314,"<leaf>","F_Engraulis"
3,1966,65,819.000000000003,20,632.432602584908,0.772200979957151,"Year < 2001","F_Benthosema"
6,106,3,57,10,14.6710813706928,0.257387392468294,"<leaf>","F_Benthosema"
7,1860,62,762.000000000001,20,607.340156065328,0.797034325545049,"<leaf>","R_Crust"
14,1049,42,435,20,349.33213670983,0.803062383240988,"Lat > 27.24187","F_Benthosema"
15,811,37,326.999999999999,18,246.31473803974,0.753256079632232,"Lon < -112.1909","R_Crust"
28,866,38,352,20,269.639712467405,0.766021910418764,"Year < 2010.5","F_Benthosema"
29,183,5,83,19,53.0797008547012,0.63951446812893,"<leaf>","R_Crust"
30,345,16,157,15,109.590005827506,0.698025514824881,"Lon > -112.6186","F_Benthosema"
31,466,21,170,18,127.83790931291,0.751987701840646,"Lat > 27.24187","R_Crust"
56,332,17,153,16,112.352690905902,0.734331313110473,"Year < 2008.5","C_Pterygioteuthis"
57,534,21,199,20,136.789942701062,0.687386646739005,"Lat > 27.30519","F_Benthosema"
60,276,13,126,14,79.2566724941729,0.629021210271213,"Length > 17.85","F_Benthosema"
61,69,3,31,7,17.7166666666668,0.57150537634409,"<leaf>","R_Crust"
62,375,15,128,17,99.0166736041742,0.773567762532611,"Lat > 27.47878","M_Pteropoda"
63,91,7,42,11,24.4913003663005,0.583126199197631,"<leaf>","R_Crust"
112,174,13,100,15,73.320346257087,0.73320346257087,"<leaf>","C_Pterygioteuthis"
113,158,4,53,14,39.0323446488155,0.736459332996518,"Length < 26.75","C_Pterygioteuthis"
114,257,16,104,19,56.1476473526477,0.539881224544688,"<leaf>","F_Benthosema"
115,277,5,95,17,78.5611791440705,0.826959780463899,"<leaf>","C_Pterygioteuthis"
120,176,11,67.0000000000001,13,38.2161963036965,0.57039098960741,"Lat < 27.79242","F_Benthosema"
121,100,8,59,8,41.0404761904764,0.695601291364007,"Length < 16.15","F_Benthosema"
124,149,5,55,11,39.659598734599,0.721083613356344,"<leaf>","F_UnID"
125,226,10,73.0000000000001,16,54.4794191919195,0.746293413587938,"Length > 17.55","M_Pteropoda"
224,119,11,66,15,44.7260610403878,0.677667591521027,"<leaf>","C_Pterygioteuthis"
225,55,13,34,13,27.2861111111113,0.802532679738567,"<leaf>","F_Benthosema"
226,53,3,16,10,11.0507647907649,0.690672799422803,"<leaf>","C_Pterygioteuthis"
227,105,4,37,12,26.6674293027236,0.720741332506042,"<leaf>","R_Crust"
230,202,5,60.0000000000001,17,48.7076437905349,0.811794063175581,"<leaf>","C_Pterygioteuthis"
231,75,3,35,11,26.2946856520387,0.751276732915392,"<leaf>","F_Vinciguerria"
240,126,7,45,12,22.6374084249086,0.503053520553523,"<leaf>","F_Benthosema"
241,50,4,22,10,14.8424242424243,0.674655647382924,"<leaf>","F_UnID"
242,50,8,32,6,21.0238095238096,0.656994047619051,"<leaf>","F_Benthosema"
243,50,7,27,8,17.9833333333334,0.666049382716054,"<leaf>","R_Crust"
250,85,10,31,13,21.0681818181819,0.67961876832845,"<leaf>","M_Pteropoda"
251,141,3,42,15,32.6078282828285,0.776376863876868,"Length > 16.05","F_UnID"
460,62,5,17,13,12.7983312983314,0.752843017548904,"<leaf>","C_Pterygioteuthis"
461,140,5,43,17,34.3462384361128,0.79874973107239,"<leaf>","R_Crust"
502,60,2,20,12,13.0750000000001,0.653750000000004,"<leaf>","F_UnID"
503,81,2,22,14,17.2070707070708,0.782139577594128,"<leaf>","M_Pteropoda"
